3000 3
 -503     47       -0.105  
 -478     -378     -0.125  
 -478     -353     -0.105  
 -478     -328     -0.085  
 -478     -303     -0.065  
 -478     -278     -0.055  
 -478     -253     -0.035  
 -478     -228     -0.025  
 -478     -203     -0.025  
 -478     -178     -0.015  
 -478     -153     -0.005  
 -478     -128     -0.005  
 -478     -103     -0.005  
 -478     -78      -0.005  
 -478     -53      -0.005  
 -478     -28      -0.005  
 -478     -3       -0.025  
 -478     22       -0.055  
 -478     47       -0.115  
 -453     -378     -0.105  
 -453     -353     -0.095  
 -453     -328     -0.075  
 -453     -303     -0.055  
 -453     -278     -0.045  
 -453     -253     -0.035  
 -453     -228     -0.025  
 -453     -203     -0.015  
 -453     -178     -0.015  
 -453     -153     -0.005  
 -453     -128     -0.005  
 -453     -103     -0.005  
 -453     -78      -0.005  
 -453     -53      -0.005  
 -453     -28      -0.005  
 -453     -3       -0.025  
 -453     22       -0.055  
 -453     47       -0.115  
 -428     -403     -0.125  
 -428     -378     -0.105  
 -428     -353     -0.085  
 -428     -328     -0.065  
 -428     -303     -0.055  
 -428     -278     -0.045  
 -428     -253     -0.035  
 -428     -228     -0.025  
 -428     -203     -0.015  
 -428     -178     -0.015  
 -428     -153     -0.005  
 -428     -128     -0.005  
 -428     -103     -0.005  
 -428     -78      -0.005  
 -428     -53      -0.005  
 -428     -28      -0.015  
 -428     -3       -0.025  
 -428     22       -0.065  
 -428     47       -0.125  
 -403     -403     -0.115  
 -403     -378     -0.095  
 -403     -353     -0.085  
 -403     -328     -0.065  
 -403     -303     -0.055  
 -403     -278     -0.045  
 -403     -253     -0.035  
 -403     -228     -0.025  
 -403     -203     -0.015  
 -403     -178     -0.015  
 -403     -153     -0.015  
 -403     -128     -0.015  
 -403     -103     -0.005  
 -403     -78      -0.005  
 -403     -53      -0.015  
 -403     -28      -0.015  
 -403     -3       -0.035  
 -403     22       -0.065  
 -403     47       -0.125  
 -378     -403     -0.115  
 -378     -378     -0.095  
 -378     -353     -0.085  
 -378     -328     -0.065  
 -378     -303     -0.055  
 -378     -278     -0.045  
 -378     -253     -0.035  
 -378     -228     -0.025  
 -378     -203     -0.025  
 -378     -178     -0.015  
 -378     -153     -0.015  
 -378     -128     -0.015  
 -378     -103     -0.005  
 -378     -78      -0.005  
 -378     -53      -0.005  
 -378     -28      -0.015  
 -378     -3       -0.035  
 -378     22       -0.065  
 -378     47       -0.105  
 -353     -403     -0.115  
 -353     -378     -0.095  
 -353     -353     -0.085  
 -353     -328     -0.065  
 -353     -303     -0.045  
 -353     -278     -0.035  
 -353     -253     -0.035  
 -353     -228     -0.035  
 -353     -203     -0.025  
 -353     -178     -0.025  
 -353     -153     -0.025  
 -353     -128     -0.015  
 -353     -103     -0.005  
 -353     -78      -0.005  
 -353     -53      -0.005  
 -353     -28      -0.015  
 -353     -3       -0.035  
 -353     22       -0.065  
 -353     47       -0.095  
 -353     72       -0.125  
 -328     -403     -0.115  
 -328     -378     -0.095  
 -328     -353     -0.085  
 -328     -328     -0.055  
 -328     -303     -0.035  
 -328     -278     -0.015  
 -328     -253     -0.015  
 -328     -228     -0.035  
 -328     -203     -0.035  
 -328     -178     -0.035  
 -328     -153     -0.025  
 -328     -128     -0.015  
 -328     -103     -0.005  
 -328     -78      -0.005  
 -328     -53      -0.005  
 -328     -28      -0.015  
 -328     -3       -0.045  
 -328     22       -0.075  
 -328     47       -0.095  
 -328     72       -0.125  
 -303     -403     -0.115  
 -303     -378     -0.105  
 -303     -353     -0.085  
 -303     -328     -0.055  
 -303     -303     -0.035  
 -303     -278     -0.015  
 -303     -253     -0.005  
 -303     -228     -0.005  
 -303     -203     -0.015  
 -303     -178     -0.035  
 -303     -153     -0.025  
 -303     -128     -0.015  
 -303     -103     -0.005  
 -303     -78      -0.005  
 -303     -53      -0.005  
 -303     -28      -0.015  
 -303     -3       -0.045  
 -303     22       -0.075  
 -303     47       -0.095  
 -303     72       -0.125  
 -278     -403     -0.125  
 -278     -378     -0.105  
 -278     -353     -0.095  
 -278     -328     -0.085  
 -278     -303     -0.055  
 -278     -278     -0.035  
 -278     -253     -0.005  
 -278     -228     -0.005  
 -278     -203     -0.005  
 -278     -178     -0.015  
 -278     -153     -0.025  
 -278     -128     -0.015  
 -278     -103     -0.005  
 -278     -78      -0.005  
 -278     -53      -0.005  
 -278     -28      -0.025  
 -278     -3       -0.055  
 -278     22       -0.085  
 -278     47       -0.105  
 -278     72       -0.125  
 -253     -403     -0.125  
 -253     -378     -0.115  
 -253     -353     -0.105  
 -253     -328     -0.095  
 -253     -303     -0.085  
 -253     -278     -0.055  
 -253     -253     -0.015  
 -253     -228     -0.005  
 -253     -203     -0.005  
 -253     -178     -0.005  
 -253     -153     -0.015  
 -253     -128     -0.015  
 -253     -103     -0.005  
 -253     -78      -0.005  
 -253     -53      -0.015  
 -253     -28      -0.025  
 -253     -3       -0.055  
 -253     22       -0.085  
 -253     47       -0.105  
 -228     -378     -0.125  
 -228     -353     -0.115  
 -228     -328     -0.105  
 -228     -303     -0.095  
 -228     -278     -0.085  
 -228     -253     -0.035  
 -228     -228     -0.015  
 -228     -203     -0.005  
 -228     -178     -0.005  
 -228     -153     -0.005  
 -228     -128     -0.005  
 -228     -103     -0.005  
 -228     -78      -0.005  
 -228     -53      -0.015  
 -228     -28      -0.025  
 -228     -3       -0.055  
 -228     22       -0.065  
 -228     47       -0.085  
 -228     72       -0.115  
 -203     -478     -0.125  
 -203     -453     -0.115  
 -203     -428     -0.125  
 -203     -353     -0.125  
 -203     -328     -0.105  
 -203     -303     -0.105  
 -203     -278     -0.095  
 -203     -253     -0.075  
 -203     -228     -0.035  
 -203     -203     -0.015  
 -203     -178     -0.005  
 -203     -153     -0.005  
 -203     -128     -0.005  
 -203     -103     -0.005  
 -203     -78      -0.005  
 -203     -53      -0.015  
 -203     -28      -0.025  
 -203     -3       -0.035  
 -203     22       -0.045  
 -203     47       -0.075  
 -203     72       -0.105  
 -178     -503     -0.105  
 -178     -478     -0.085  
 -178     -453     -0.075  
 -178     -428     -0.085  
 -178     -403     -0.095  
 -178     -378     -0.125  
 -178     -328     -0.125  
 -178     -303     -0.115  
 -178     -278     -0.095  
 -178     -253     -0.075  
 -178     -228     -0.055  
 -178     -203     -0.035  
 -178     -178     -0.015  
 -178     -153     -0.005  
 -178     -128     -0.005  
 -178     -103     -0.005  
 -178     -78      -0.005  
 -178     -53      -0.015  
 -178     -28      -0.015  
 -178     -3       -0.025  
 -178     22       -0.045  
 -178     47       -0.065  
 -178     72       -0.095  
 -178     97       -0.115  
 -178     272      -0.125  
 -178     297      -0.125  
 -178     322      -0.105  
 -178     347      -0.085  
 -178     372      -0.085  
 -178     397      -0.095  
 -178     422      -0.125  
 -178     447      -0.125  
 -178     522      -0.085  
 -178     547      -0.085  
 -178     572      -0.095  
 -178     597      -0.115  
 -153     -653     -0.125  
 -153     -628     -0.115  
 -153     -603     -0.105  
 -153     -578     -0.095  
 -153     -553     -0.085  
 -153     -528     -0.075  
 -153     -503     -0.065  
 -153     -478     -0.055  
 -153     -453     -0.045  
 -153     -428     -0.045  
 -153     -403     -0.065  
 -153     -378     -0.085  
 -153     -353     -0.095  
 -153     -328     -0.105  
 -153     -303     -0.125  
 -153     -278     -0.095  
 -153     -253     -0.075  
 -153     -228     -0.055  
 -153     -203     -0.035  
 -153     -178     -0.025  
 -153     -153     -0.015  
 -153     -128     -0.005  
 -153     -103     -0.005  
 -153     -78      -0.005  
 -153     -53      -0.005  
 -153     -28      -0.005  
 -153     -3       -0.025  
 -153     22       -0.045  
 -153     47       -0.055  
 -153     72       -0.075  
 -153     97       -0.095  
 -153     122      -0.105  
 -153     147      -0.095  
 -153     172      -0.095  
 -153     197      -0.085  
 -153     222      -0.085  
 -153     247      -0.075  
 -153     272      -0.075  
 -153     297      -0.065  
 -153     322      -0.065  
 -153     347      -0.055  
 -153     372      -0.055  
 -153     397      -0.065  
 -153     422      -0.065  
 -153     447      -0.055  
 -153     472      -0.055  
 -153     497      -0.065  
 -153     522      -0.045  
 -153     547      -0.045  
 -153     572      -0.065  
 -153     597      -0.085  
 -153     622      -0.125  
 -128     -703     -0.095  
 -128     -678     -0.085  
 -128     -653     -0.075  
 -128     -628     -0.065  
 -128     -603     -0.055  
 -128     -578     -0.055  
 -128     -553     -0.045  
 -128     -528     -0.035  
 -128     -503     -0.035  
 -128     -478     -0.025  
 -128     -453     -0.025  
 -128     -428     -0.025  
 -128     -403     -0.035  
 -128     -378     -0.045  
 -128     -353     -0.055  
 -128     -328     -0.055  
 -128     -303     -0.075  
 -128     -278     -0.095  
 -128     -253     -0.085  
 -128     -228     -0.055  
 -128     -203     -0.045  
 -128     -178     -0.025  
 -128     -153     -0.015  
 -128     -128     -0.005  
 -128     -103     -0.005  
 -128     -78      -0.005  
 -128     -53      -0.005  
 -128     -28      -0.015  
 -128     -3       -0.025  
 -128     22       -0.035  
 -128     47       -0.045  
 -128     72       -0.055  
 -128     97       -0.065  
 -128     122      -0.055  
 -128     147      -0.055  
 -128     172      -0.055  
 -128     197      -0.045  
 -128     222      -0.045  
 -128     247      -0.045  
 -128     272      -0.035  
 -128     297      -0.035  
 -128     322      -0.035  
 -128     347      -0.025  
 -128     372      -0.025  
 -128     397      -0.025  
 -128     422      -0.025  
 -128     447      -0.015  
 -128     472      -0.015  
 -128     497      -0.025  
 -128     522      -0.015  
 -128     547      -0.025  
 -128     572      -0.045  
 -128     597      -0.075  
 -128     622      -0.105  
 -103     -703     -0.045  
